Reference,Specimen,Failure,a/D,ALF,ρlfy/fc,ρvfyv/ft,,,
,CSP7,1,4.5,0.07,0.6092721,1.730679688,,,
,CSP8,1,4.5,0.07,0.6092721,3.028689453,,,
"Sheikh and Yau, 2002",S-1NT,1,4.142857143,0.643348614,0.369118314,1.387692038,,,
\,S-2NT,1,4.142857143,0.321674307,0.369118314,1.387692038,,,
"Goodnight, 2015",T9,1,4,0.054356909,0.153921959,1.121929612,,,
,T13,1,4,0.061631837,0.174522306,1.460967068,,,
,T14,1,4,0.056583242,0.160226246,0.498960841,,,
,T15,1,4,0.051959252,0.147132536,0.69547463,,,
,T16,1,4,0.055993043,0.158554984,1.323604748,,,
,T19,1,5.333333333,0.089337602,0.186657983,1.397251401,,,
,T20,1,5.333333333,0.044600842,0.182819185,1.382808858,,,
,T21,1,7.333333333,0.044584819,0.18502217,1.391115387,,,
,T22,1,7.333333333,0.08906322,0.181055385,1.376122174,,,
,T23,1,8.666666667,0.044614143,0.178972399,1.368183343,,,
,T24,1,8.666666667,0.089240416,0.182649724,1.382167828,,,
,T25,1,4,0.046042838,0.235702825,1.808148549,,,
,T26,1,4,0.091831369,0.251669791,1.048151094,,,
,T27,1,4,0.091845693,0.174571068,1.025839205,,,
,T28,1,5.333333333,0.133779444,0.191169792,1.371365152,,,
,T29,1,5.333333333,0.178401271,0.201743629,1.408780688,,,
,T30,1,5.333333333,0.133801722,0.359657178,1.39262092,,,
Potangaroa et al. 1979,No. 3,2,2,0.542038342,0.276462689,1.016980072,,,
Ang et al. 1989,No. 1,2,2,0,0.372053333,0.422878838,,,
,No. 2,2,2,0,0.254623656,0.424580571,,,
,No. 3,2,2.5,0,0.387555556,0.431598907,,,
,No. 5,2,2,0,0.448617363,0.69653453,,,
,No. 8,2,2,0.199914136,0.499512195,1.096452267,,,
,No. 10,2,2,0.199963903,0.459487179,0.945959794,,,
,No. 11,2,2,0.199875188,0.479464883,0.537112288,,,
,No. 12,2,1.5,0.099889204,0.487832168,0.968453037,,,
,No. 13,2,2,0.100021408,0.385414365,0.855561146,,,
,No. 14,2,2,0,0.407643917,0.443363965,,,
,No. 15,2,2,0,0.240551724,0.43630051,,,
,No. 17,2,2.5,0.099993849,0.406763848,0.439469038,,,
,No. 23,2,2,0,0.431950464,0.646878341,,,
,No. 24,2,2,0,0.421510574,0.647949666,,,
Wong et al. 1990,No. 2,2,2,0.389929611,0.410810811,0.407355601,,,
Petrovsky & Ristic 1984,M2E1,2,2.931596091,0.054564091,0.122569885,0.356620101,,,
,M2E2,2,2.915309446,0.099749021,0.127914503,0.36431229,,,
Arakawa et al. 1987,No. 10,2,1.090909091,0.114,0.307119681,0.910241086,,,
,No. 15,2,1.636363636,0,0.435243229,0.625403843,,,
,No. 23,2,1.636363636,0.081,0.329975099,0.544546684,,,
Priestley & Benzoni 1996,Column 1,2,1.5,0.057290084,0.080036315,0.294644729,,,
,Column 2,2,1.5,0.057290084,0.16007263,0.176786838,,,
Hamilton et al. 2002,UCI3,2,2.578125,0,0.180649991,0.176008186,,,
,UCI4,2,2.578125,0,0.180649991,0.176008186,,,
Benzoni et al. 1996,CS1,2,2,0.351331233,0.380206358,0.330592582,,,
,CS3,2,2,0.278216355,0.301082332,0.294188745,,,
Iwasaki et al. (1985),P28,2,4.432624113,0,0.165300818,0.127746673,,,
,P29,2,3.102836879,0,0.165300818,0.127746673,,,
,P30,2,1.773049645,0,0.165300818,0.127746673,,,
Ranf et al. (2006),S1,2,3,0.1,0.122287389,0.141310783,,,
,S3,2,3,0.100094631,0.079074177,0.113632302,,,
,C2,2,3,0.098761652,0.078021131,0.112873135,,,
,C4,2,3,0.070155041,0.078877859,0.113491157,,,
,C3R,2,3,0.106776341,0.084352688,0.117363737,,,
Sun et al. (2011),A1,2,2,0.15,0.194133333,0.769600806,,,
,A2,2,2,0.15,0.221565217,0.735379033,,,
,A3,2,1.5,0.1,0.242666667,1.026097363,,,
,A4,2,2.5,0.1,0.237023256,1.034258247,,,
,A5,2,2,0.15,0.3136,1.092357386,,,
,A6,2,2,0.1,0.265878261,1.49994579,,,
Kowalsky et al. 1999,SL2,2,2,0.040085877,0.222795208,0.593341475,,,
Kwon (2012) (2),Scale 1,2,4.75,0.057191586,0.207459739,0.149912822,,,
Kim et al. 2001 (3),CS-P1,2,2.125,0.0659843,0.180548507,0.141805471,,,
,CS-P2,2,2.6,0.0659843,0.180548507,0.141805471,,,
,CS-M1,2,2.133333333,0.2639372,0.180548507,0.141805471,,,
,CS-M2,2,2.6,0.2639372,0.180548507,0.141805471,,,
Cho et al. (2014),FS-H-LS000,2,2.666666667,0.07073517,0.217935048,0.162776374,,,
Park et al. 2006 (9),2.5N-SP00,2,2.5,0.088812388,0.204276722,0.24801786,,,
Youm et al. 2005 (13),RS,2,5.714285714,0.073279974,0.305999947,0.471732257,,,
Lee et al. 2004 (19),MS-HT4-N-FS,2,2.5,0.066430913,0.140154379,0.259829003,,,
,MS-HT4-N-SH,2,1.825,0.066430913,0.140154379,0.259829003,,,
,MD-HT6-N-L2,2,4,0.066430913,0.280308759,0.259829003,,,
Ang et al. 1989,No. 4,3,2,0,0.455947712,0.457961199,,,
,No. 6,3,1.5,0,0.463521595,0.472006891,,,
,No. 7,3,2,0,0.485966102,0.4055561,,,
,No. 16,3,2,0.100067479,0.417724551,0.445350669,,,
,No. 18,3,2,0.10004025,0.398628571,0.435052151,,,
,No. 19,3,1.5,0.099934499,0.405581395,0.329122357,,,
,No. 20,3,1.75,0.174983704,0.42027248,0.318642407,,,
,No. 21,3,2,0,0.420240964,0.335017555,,,
,No. 22,3,2,0,0.451521036,0.335309634,,,
Arakawa et al. 1987,No. 1,3,1.090909091,0,0.482893831,0.466033839,,,
,No. 2,3,1.090909091,0,0.474818683,0.924255689,,,
,No. 4,3,1.090909091,0.115,0.467009166,0.458311695,,,
,No. 6,3,1.090909091,0.12,0.486201323,0.935268486,,,
,No. 8,3,1.090909091,0.109,0.443658707,1.276305666,,,
,No. 9,3,1.090909091,0.113,0.608663607,0.906248983,,,
,No. 12,3,1.090909091,0.247,0.501663556,0.475011926,,,
,No. 13,3,1.090909091,0.225,0.456497705,0.906248983,,,
,No. 14,3,1.090909091,0.219,0.445049487,1.27830458,,,
,No. 17,3,1.090909091,0.11,0.44140154,0.617615637,,,
,No. 19,3,1.636363636,0.11,0.442789595,0.618585968,,,
,No. 22,3,1.636363636,0.209,0.67371814,0.763028011,,,
,No. 24,3,1.090909091,0.221,0.444186408,0.619560888,,,
,No. 25,3,1.636363636,0.231,0.464709872,0.633712553,,,
,No. 27,3,1.636363636,0.193,0.729570422,0.794026451,,,
,No. 28,3,1.636363636,0.166,0.334458649,0.537616484,,,
McDaniel 1997,S1,3,2,0.002049261,0.196564281,0.07365133,,,
,S1-2,3,2,0.002278656,0.218567745,0.111703476,,,
,S2,3,2,0.001957307,0.180962144,0.197175994,,,
Haroun et al. 2003,CS-A1,3,2,0.056899899,0.15036017,0.094029781,,,
Xiao et al. 1999,CS-A,3,1.5,0.060411252,0.159304852,0.117360108,,,
Yalcin 1997,BR-C1,3,2.43442623,0.136870685,0.199319179,0.193046428,,,
Yarandi 2007,CR-C,3,2.5,0.139955299,0.168396429,0.101611333,,,
"Cho et al., 2014",FS-L-LS000,3,2.25,0.07073517,0.217935048,0.162776374,,,
"Ohtaki et al., 1996",UNIT L1,3,2,0,0.227712949,0.082234644,,,
"Li and Sung, 2003",BMCS,3,2.302631579,0.162601333,0.430685267,0.189492907,,,
"Verma et al., 1993",1,3,2,0.065419444,0.265454889,0.173446895,,,
,3,3,2,0.176775107,0.238524683,0.148637263,,,
"Sheikh and Yau, 2002",S-3NT,3,4.142857143,0.658119373,0.377592969,0.37427514,,,
,S-4NT,3,4.142857143,0.329059686,0.377592969,0.37427514,,,
"Montejo et al., 2009",BSH-89A,3,1.818181818,0.035482508,0.75638665,1.328369575,,,
Kowalsky et al. 1999,SL1,3,2,0.042612298,0.236836922,0.107787006,,,
"Zong-Cai et al., 2014",PZ1,3,1.933333333,0.81,0.26568835,0.328793877,,,
